Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SOUTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),EAST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),NORTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),WEST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),CORE LIGHTS 1:Lights Electricity Rate [W](Hourly),PLENUM:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),PLENUM:Zone Air Temperature [C](Hourly),SOUTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),SOUTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),SOUTH PERIMETER:Zone Air Temperature [C](Hourly),EAST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),EAST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PERIMETER:Zone Air Temperature [C](Hourly),NORTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),NORTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),NORTH PERIMETER:Zone Air Temperature [C](Hourly),WEST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),WEST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PERIMETER:Zone Air Temperature [C](Hourly),CORE:Zone Air System Sensible Heating Rate [W](Hourly),CORE:Zone Air System Sensible Cooling Rate [W](Hourly),CORE:Zone Air Temperature [C](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),SOUTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),CORE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),SOUTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),CORE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly) 
 01/01  22:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.118472518203703,0.0,0.0,18.59728234394659,0.0,0.0,18.80758677184989,0.0,0.0,18.661063885442773,0.0,0.0,19.343523143208054,0.0,0.0,19.646253095486036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.074950476788909,0.0,0.0,18.476279564395889,0.0,0.0,18.731624372724789,0.0,0.0,18.60185605528754,0.0,0.0,19.26551096315877,0.0,0.0,19.590741437932946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.027520530416222,0.0,0.0,18.394348775068445,0.0,0.0,18.67937762926337,0.0,0.0,18.563453110209218,0.0,0.0,19.21254523378988,0.0,0.0,19.559453368586884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,-3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.972861939898055,0.0,0.0,18.31158657504689,0.0,0.0,18.618289766044386,0.0,0.0,18.51281706796127,0.0,0.0,19.151551496220834,0.0,0.0,19.544354274019839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.902235033729964,0.0,0.0,18.23087168288085,0.0,0.0,18.55081422215452,0.0,0.0,18.452417633235116,0.0,0.0,19.08370608842119,0.0,0.0,19.49091802398417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.829129134204076,0.0,0.0,18.182551075992824,0.0,0.0,18.510613175521877,0.0,0.0,18.419156247678424,0.0,0.0,19.044251745241057,0.0,0.0,19.470962511566733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.758864708703225,0.0,0.0,18.171732768604298,0.0,0.0,18.502659003633807,0.0,0.0,18.41890378420314,0.0,0.0,19.037451899844706,0.0,0.0,19.476264636699719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.703531584310584,0.0,0.0,18.1423269817075,0.0,0.0,18.475254223897037,0.0,0.0,18.394327005012348,0.0,0.0,19.009523646182548,0.0,0.0,19.42354760889363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.669727150325473,0.0,0.0,18.142720309935947,0.0,0.0,18.47765955370742,0.0,0.0,18.39910400993318,0.0,0.0,19.012368786549844,0.0,0.0,19.409297618213814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  07:00:00,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.652407743301258,0.0,0.0,18.171094919754649,0.0,0.0,18.505997064691976,0.0,0.0,18.430834267074255,0.0,0.0,19.0413910557999,0.0,0.0,19.42271716717345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  08:00:00,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.649332896564088,0.0,0.0,18.20051917252987,0.0,0.0,18.53507152555388,0.0,0.0,18.461885724264307,0.0,0.0,19.0705299822431,0.0,0.0,19.42778407491153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.667984356575698,0.0,0.0,18.28456869858205,0.0,0.0,18.61513053996756,0.0,0.0,18.524359123993145,0.0,0.0,19.131666484514523,0.0,0.0,19.40293533336756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
