Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SOUTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),EAST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),NORTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),WEST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),CORE LIGHTS 1:Lights Electricity Rate [W](Hourly),PLENUM:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),PLENUM:Zone Air Temperature [C](Hourly),SOUTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),SOUTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),SOUTH PERIMETER:Zone Air Temperature [C](Hourly),EAST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),EAST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PERIMETER:Zone Air Temperature [C](Hourly),NORTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),NORTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),NORTH PERIMETER:Zone Air Temperature [C](Hourly),WEST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),WEST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PERIMETER:Zone Air Temperature [C](Hourly),CORE:Zone Air System Sensible Heating Rate [W](Hourly),CORE:Zone Air System Sensible Cooling Rate [W](Hourly),CORE:Zone Air Temperature [C](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),SOUTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),CORE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),SOUTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),CORE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly) 
 12/13  20:00:00,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.327874225537604,0.0,510.63008829886896,17.999978120757079,0.0,338.21439381365328,17.999894673090357,0.0,657.0291819503086,17.999868877980075,0.0,497.18018609387857,17.999869577227846,0.0,1994.40490453953,18.00016754263372,1408.1025966647642,0.0,0.0,98.20730867187946,0.0,0.0,0.0,0.0,0.0,206.36431385261646,0.0 
 12/13  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.126328983872904,0.0,376.70820986324727,17.999987117401198,0.0,274.95905621772,17.99992639875637,0.0,542.2042209241336,17.999896733135964,0.0,439.5055987311971,17.999949533856407,0.0,1818.996583177272,18.000119061657519,1387.953581574464,0.0,0.0,128.97066424636845,0.0,0.0,0.0,0.0,0.0,155.45194318782709,0.0 
 12/13  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.946209186840895,0.0,342.20453302404806,17.999986251117805,0.0,257.8239615245802,17.999935348156023,0.0,496.42836068184536,17.999921951924674,0.0,418.4461052130846,17.999983070571397,0.0,1794.8132457638899,18.00011759831386,1402.707236719137,0.0,0.0,150.22634365067024,0.0,0.0,0.0,0.0,0.0,148.94991892819847,0.0 
 12/13  23:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.78211472895016,0.0,281.5046243565703,17.99999492340352,0.0,231.4933444765138,17.999177922369346,0.0,439.55914617473266,17.99998772659055,0.0,391.2689568162168,17.999994320755627,0.0,1746.7980277469579,18.000091135719594,1478.274441720086,0.0,0.0,226.30397671090067,0.0,14.462042224999588,0.0,0.0,0.0,133.97744864391738,0.0 
 12/13  24:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.623313668330699,0.0,302.69840400281466,17.99999282286884,0.0,239.01233884301474,17.999758506401908,0.0,462.7627052863254,17.999998065854606,0.0,399.22391100767256,17.999998091951,0.0,1831.7393088811783,18.000096664741343,1524.8709383870617,0.0,6.28468215651587,245.2565949943872,0.0,11.433095278591337,0.0,0.0,0.0,158.36559181729886,0.0 
 12/14  01:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.470549114184604,0.0,225.30684924179514,17.999993789772494,0.0,204.78151823643476,17.999929167990989,0.0,385.1948439398684,17.99999969581367,0.0,364.81762070544576,17.999999359900249,0.0,1696.6979711205459,18.00007363300064,1571.1047591361076,0.0,26.960274487230615,252.74693211432334,0.0,68.80632980323091,0.0,0.0,0.0,119.06024859105429,0.0 
 12/14  02:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.331327617455733,0.0,208.77043814384343,17.99999263342606,0.0,197.26950017947184,17.999979224328027,0.0,369.0583712260368,17.999999952160054,0.0,357.26031574260289,17.999999785267986,0.0,1679.2807929732772,18.000073425365554,1597.9802235797748,0.0,34.549105341689998,260.5099038647351,0.0,85.09357412034879,0.0,0.0,0.0,114.29666611273258,0.0 
 12/14  03:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.207240289135826,0.0,261.95243372025836,17.999992763313295,0.0,219.86311406587903,17.99999389677137,0.0,422.4318756757075,17.99999999246077,0.0,379.81765468082997,17.999999927859578,0.0,1778.6448909241336,18.0000881684132,1528.3253175252972,0.0,11.949542577524387,237.95715024023623,0.0,31.729353533157775,0.0,0.0,0.0,143.15829703411036,0.0 
 12/14  04:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.094612914327291,0.0,239.87599345361105,17.99999185427369,0.0,210.40551214364406,17.999998206908697,0.0,401.3840785088223,17.99999999881173,0.0,370.3399299202456,17.999999975762298,0.0,1765.8252245781478,18.000088265806775,1625.0001948224099,0.0,34.83112090884393,274.28836187115015,0.0,72.9178418075232,0.0,0.0,0.0,139.43189609462417,0.0 
 12/14  05:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.988323968224679,0.0,226.67866581856652,17.999989093354729,0.0,204.36401161246614,17.999999473156714,0.0,388.42333463254729,17.999999999812695,0.0,364.2895880900087,17.999999991856098,0.0,1754.1317304759655,18.000097008288824,1647.68865540728,0.0,40.97874468556108,280.5478069955375,0.0,86.03228580698908,0.0,0.0,0.0,136.59884377892389,0.0 
 12/14  06:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.888710597504339,0.0,119.36047910062644,18.00000341333638,0.0,158.05140384483003,17.99999984554575,0.0,281.52280794047058,17.99999999997056,0.0,317.96465327458466,17.999999997269339,0.0,1579.261149232936,18.000075642668049,1796.677673641318,0.0,87.36453509753047,327.01656902010446,0.0,193.0319154148732,0.0,0.0,0.0,85.7336799685414,0.0 
 12/14  07:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.798158540173569,0.0,123.39918420178219,17.999978222591677,0.0,159.35353668134577,17.999999954717219,0.0,284.91446577332229,17.999999999995376,0.0,319.2642327521098,17.999999999084378,0.0,1575.0895148979976,18.000082576693143,1729.9545519342537,0.0,72.72275949715895,299.0336629225585,0.0,169.62716583077038,0.0,0.0,0.0,85.03998954349749,0.0 
 12/14  08:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.730038349362899,3893.014767758913,0.0,21.017468582953684,1973.9376142147008,0.0,21.461170099129036,3984.7810004023906,0.0,21.21421705229238,2005.3414544438247,0.0,21.713333606544688,3986.3522215379055,0.0,21.608613628375353,20100.473675777375,3967.099604700191,2370.181026698489,2894.0291333581469,5146.640034663089,4618.9929022171959,0.0,0.0,0.0,0.0,0.0 
 12/14  09:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.945823475241698,2379.13908417778,0.0,21.90625148149249,935.9052646404267,0.0,21.926395501721538,2317.30011835982,0.0,21.9508760346975,839.5514317248155,0.0,21.952991447277264,2459.98103246991,0.0,21.984543642042657,13095.598008507777,2472.2059044984964,1299.8168378799279,1661.446727532963,3594.618812085235,2963.978752370888,0.0,0.0,0.0,0.0,0.0 
 12/14  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.198704823393298,1462.0322155803916,0.0,21.99703079771841,637.0652100347998,0.0,21.995211865422929,1584.475029174885,0.0,21.99939985215749,591.4146961647921,0.0,21.995690349613438,2051.1182031635519,0.0,21.999936556190634,10036.220260401642,1419.0817288631704,936.3972001258659,1341.5592715764536,3098.6370155441225,2137.014070151762,0.0,0.0,0.0,0.0,0.0 
 12/14  11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.47984850266721,1180.5299353399369,0.0,21.999208556762395,509.5806534187086,0.0,21.99836334448297,1308.2186012679304,0.0,21.999885015131047,430.1104625215012,0.0,21.998331526339006,1747.0909107053904,0.0,21.99999139031733,8880.311493601479,1135.2376260882725,807.4723892571853,1179.198851708583,2794.5453379653079,1860.326314441862,0.0,0.0,0.0,0.0,0.0 
 12/14  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.780436727847317,917.772961549761,0.0,21.999880098685943,444.94546630449306,0.0,21.999658062071228,1111.916732624792,0.0,21.999988302678618,340.80670732153387,0.0,21.999589998052096,1588.3179277003224,0.0,21.999999426835858,8107.8823551774089,871.8522917562043,742.4163032780029,1089.7128520998047,2636.177425716201,1664.192508186928,0.0,0.0,0.0,0.0,0.0 
 12/14  13:00:00,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.090028328163837,886.94983239668,0.0,22.00000950143425,439.5288713131017,0.0,21.999974462340334,1077.1855724734797,0.0,22.000058456129677,301.4674577763449,0.0,21.999934383751524,1570.0861832304987,0.0,22.000067443194348,7877.498642268913,834.1313155518806,723.3545542995917,1023.2626941685489,2584.0706288220465,1609.1484752865768,0.0,0.0,0.0,0.0,0.0 
 12/14  14:00:00,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.394504835396945,250.04834457677863,0.0,22.000008111682044,420.68778122785127,0.0,22.000026800560243,1031.2823351567386,0.0,22.000048152301127,144.52591808550825,0.0,21.999994179825259,1444.6796483399099,0.0,22.000055976707537,6892.567448378836,197.1755972727945,704.3696272216887,866.107935161644,2458.3259192759026,1563.0573953065387,0.0,0.0,0.0,0.0,0.0 
 12/14  15:00:00,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.657220286641239,597.5646104975858,0.0,22.000000846695195,470.15466157776157,0.0,22.000004411273534,1134.408748785303,0.0,22.00000272558467,161.78461228586003,0.0,21.999998804645089,1400.9756639610824,0.0,22.00000161490913,7365.421833137338,544.6403460046556,753.7249918454032,883.1399267523015,2414.3723735099417,1666.0132208847695,0.0,0.0,0.0,0.0,0.0 
 12/14  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.823863426098855,1117.1386494619929,0.0,22.00000022562427,549.6207129253271,0.0,22.000001507706384,1296.1143642742637,0.0,22.000000522130674,309.4121948793463,0.0,21.999999537247484,1410.9882879132093,0.0,22.00000021912491,8384.511861379362,1070.9279435092338,846.6231935330462,1057.6115060500079,2457.977727655854,1847.840516490953,0.0,0.0,0.0,0.0,0.0 
 12/14  17:00:00,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.89856798003945,37.10260231902718,2764.4751798999416,18.058187896165447,0.0,1346.483731302095,18.075084700079125,0.0,2614.5946754997214,18.137452523050319,0.0,1517.6299258607717,18.09125836964575,0.0,4346.027725253484,18.26649476450722,2625.2449517855568,12.747442897247874,0.0,5.02267050139327,0.0,0.0,240.48586436674214,44.663486258392,34.96843202271817,821.7361983116472,362.08988328714738 
 12/14  18:00:00,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67377817866286,0.0,760.6419038290669,17.999960833992547,0.0,462.1321378423936,17.999754040512383,0.0,833.2740860688664,17.99976119322071,0.0,646.9400072972276,17.999831123799625,0.0,2055.325261082469,18.000178382786357,1397.4117050534197,0.0,0.0,69.03216698720465,0.0,0.0,0.0,0.0,0.0,224.84856392594674,0.0 
 12/14  19:00:00,-3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.41191428874703,0.0,802.4135716797382,17.999986079609849,0.0,459.7003016998742,17.99988287475488,0.0,899.7464442548162,17.999845773926546,0.0,629.0002448995401,17.9999344815737,0.0,2459.5926589814569,18.000199173651838,1552.9861864615808,0.0,0.0,113.73838337942496,0.0,0.0,0.0,0.0,0.0,335.71682894188748,0.0 
 12/14  20:00:00,-6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13238256711869,0.0,265.24416963663318,18.000004866879985,0.0,222.75029348021509,17.999960004343028,0.0,403.4935330769413,17.99997048970642,0.0,386.1615603805176,17.99997465789362,0.0,1821.4701675069856,18.000067296846713,2109.0512853654888,0.0,133.72581207519606,480.9527834304152,0.0,237.70187041952739,0.0,0.0,0.0,153.13984530008177,0.0 
